GEO_COD	Cult_2010	Cult_2011	Cult_2012	Cult_2013	Cult_2014
3513306	3439	3447	3268	3269	3336
3513405	0	0	0	0	0
3513504	0	0	0	0	0
3513603	0	0	0	0	0
3513702	26021	28050	29158	29577	31692
3513801	0	0	0	0	0
3513850	0	67	67	194	1185
3513900	99	106	106	93	74
3514007	12252	12269	12175	12227	12205
3514106	36554	36137	35237	34887	34483
3514205	701	926	1640	1640	2140
3514304	7006	6844	6665	6681	6724
3514502	470	480	457	421	449
3514601	8999	8896	8881	8885	8927
3514700	6992	6754	7118	7082	6867
3514809	0	0	0	0	0
3514908	8877	8797	8568	8268	7948
3514924	5506	5559	5565	5543	5525
3514957	3478	3437	4384	4412	4735
3515004	0	0	0	0	0
3515103	0	0	0	0	0
3515152	1755	1880	2017	2161	2313
3515186	2115	2284	2209	2133	2121
3515194	5295	5412	5426	5541	6013
3515202	4461	5108	5698	6622	7274
3515400	223	223	240	240	234
3515509	9558	10515	11747	13108	15333
3515608	7911	7890	7989	7927	8134
3515657	256	247	240	240	228
3515707	0	0	0	0	0
3515905	5702	5738	6044	6841	8537
3516002	21134	21099	21183	21011	23916
3516101	10179	9888	10140	10064	9876
3516200	7578	7524	7506	7427	7600
3516309	0	0	0	0	0
3516408	0	0	0	0	0
3516507	3596	3526	3493	3817	4276
3516606	5	2	2	2	0
3516705	0	0	0	0	0
3516804	5218	4848	5097	5843	6594
3516853	8754	8831	9437	10473	11459
3516903	11837	11727	11951	12837	15018
3517000	24148	23897	24457	24980	24187
3517109	11351	11789	11763	12153	13031
3517208	10614	10390	10661	10844	11538
3517307	4305	4767	4649	4861	4991
3517406	61018	61752	61954	63610	65833
3517505	16703	16684	17042	16970	17205
3517604	0	0	0	0	0
3517703	25328	25543	25791	25926	26258
3517901	22460	22329	22837	25702	28611
3518008	219	460	942	1652	2125
3518107	8036	7990	7922	8232	8458
3518206	42407	42653	41969	43528	43696
3518305	0	0	0	0	0
3518404	0	0	0	0	0
3518503	4759	4767	4772	4648	4539
3518602	22567	22618	22442	22332	22278
3518701	0	0	0	0	0
3518800	0	0	0	0	0
3518859	24432	24428	24713	24933	25058
3518909	4052	3986	4032	4023	3878
3519006	6714	6638	7802	8770	10111
3519055	469	484	494	427	552
3519071	40	40	0	0	0
3519105	15843	16218	16269	17898	18793
3519204	6890	7262	7756	8122	8601
3519253	4680	4723	4369	5631	5972
3519303	14537	14370	14194	14481	14650
3519402	11115	11616	11906	11858	11722
3519501	10177	9993	9842	9632	9461
3519600	22656	23870	24513	25478	26954
3519709	0	0	0	0	0
3519808	12665	14032	14777	14264	14520
3519907	11949	11717	11733	11704	13184
3520004	7398	7417	7417	7418	7298
3520103	24878	24661	24527	24315	24603
3520202	0	0	0	0	0
3520301	0	0	0	0	0
3520400	0	0	0	0	0
3520426	0	0	0	0	0
3520509	2666	2597	2616	2609	2606
3520608	77	77	77	77	77
3520707	1797	2167	2490	3388	4945
3520806	2456	2299	2260	2389	2539
3520905	11712	11389	11633	11192	11246
3521002	1380	1308	1214	1243	1160
3521101	5937	6000	6034	5964	6018
3521150	2491	3206	3259	3291	3576
3521200	0	0	0	0	0
3521309	32299	32290	32616	32556	33071
3521408	8067	8042	7945	7958	7854
3521507	8622	8637	8940	9053	9240
3521705	1235	1235	1240	1228	1182
3521804	18397	18055	17711	17571	18387
3521903	26412	26599	26585	26666	26863
3522000	8200	8265	8076	8314	8589
3522109	0	0	0	0	0
3522158	0	0	0	0	0
3522208	0	0	0	0	0
3522307	11160	11460	11542	11627	11315
3522406	4039	3813	4017	4167	4229
3522505	0	0	0	0	0
3522604	7427	7495	7417	7457	7299
3522653	0	0	0	0	0
3522703	35374	36356	40310	41227	43254
3522802	516	516	534	515	464
3522901	10105	9968	9928	9857	9804
3523107	0	0	0	0	0
3523206	0	0	0	0	0
3523305	0	0	0	0	0
3523404	173	173	163	163	149
3523503	1856	2108	2234	3035	3927
3523602	8523	8434	8492	8489	10381
3523701	167	222	400	389	429
3523800	1623	1567	1576	1575	1459
3523909	1753	1794	1954	1932	1898
